fill_rate_0to12h,fill_rate_12to24h,fill_rate_24to36h,fill_rate_36to48h,fill_rate_48to60h,fill_rate_60to72h,quarter,dept,subj_course_id,start_time,end_time,final_waitlist_count,total_seats,final_waitlist_ratio,fill_rate_0to72h
0.0,0.0,0.0,0.0,0.0,0.0,Sp25,math,MATH 31CH,2025-02-15 08:00:00,2025-03-31 06:00:00,0.0,35.0,0.0,0.0
0.0,0.08,0.0,0.0,0.17,0.0,Sp25,math,MATH 140B,2025-02-15 08:00:00,2025-03-31 06:00:00,0.0,70.0,0.0,0.25
2.75,0.5,0.17,0.0,0.5,0.0,Sp25,math,MATH 10A,2025-02-15 08:00:00,2025-03-31 06:00:00,0.0,475.0,0.0,3.92
0.17,0.0,0.0,0.0,0.42,0.0,Sp25,math,MATH 140C,2025-02-15 08:00:00,2025-03-31 06:00:00,0.0,70.0,0.0,0.59
0.5,0.0,0.0,0.0,0.5,0.08,Sp25,math,MATH 100C,2025-02-15 08:00:00,2025-03-31 06:00:00,0.0,68.0,0.0,1.08
0.75,0.25,0.17,-0.08,1.0,0.42,Sp25,math,MATH 102,2025-02-15 08:00:00,2025-03-31 06:00:00,0.0,274.0,0.0,2.51
0.08,0.0,0.0,0.0,0.33,0.0,Sp25,math,MATH 100B,2025-02-15 08:00:00,2025-03-31 06:00:00,0.0,69.0,0.0,0.41000000000000003
0.25,0.08,0.0,0.0,0.25,0.0,Sp25,math,MATH 120B,2025-02-15 08:00:00,2025-03-31 06:00:00,0.0,70.0,0.0,0.5800000000000001
0.67,0.17,0.0,0.25,0.75,0.25,Sp25,math,MATH 114,2025-02-15 08:00:00,2025-03-31 06:00:00,9.0,60.0,0.15,2.09
0.5,0.33,0.0,0.08,1.92,0.33,Sp23,math,MATH 181A,2023-02-18 08:00:00,2023-04-03 06:00:00,25.0,185.0,0.1351351351351351,3.16
0.75,0.25,0.08,0.0,1.83,0.33,Sp23,math,MATH 181B,2023-02-18 08:00:00,2023-04-03 06:00:00,0.0,140.0,0.0,3.24
0.25,0.0,0.0,0.0,0.0,0.0,Sp23,math,MATH 4C,2023-02-18 08:00:00,2023-04-03 06:00:00,0.0,36.0,0.0,0.25
